name,x,y,z,w,d,h,material,layer,note
Base 1000x700,0,0,0,1000,700,9,base,base,Plywood/MDF 9 mm
Canal principal de cables,330,20,9,640,30,15,blue,systems,Tapa removible
Entrada cubierta,350,55,9,270,205,8,wood,ground,
Rampa de acceso,350,15,9,95,40,5,wood_light,ground,
Piso planta baja,350,290,9,620,380,6,floor,ground,
PB muro posterior,350,667,15,620,3,220,wood_light,ground,
PB muro lateral izquierdo,350,290,15,3,380,220,wood_light,ground,
PB muro lateral derecho,967,290,15,3,380,220,wood_light,ground,
PB frente izquierdo,350,290,15,70,3,220,wood_light,ground,
PB frente central,610,290,15,55,3,220,wood_light,ground,
PB frente derecho,910,290,15,60,3,220,wood_light,ground,
División sala-cocina,350,500,15,430,3,160,wood_light,ground,
Barra cocina,650,520,15,35,120,80,wood,furniture,
Mueble cocina,390,610,15,230,45,75,wood,furniture,
Sofá sala,440,350,15,150,65,55,blue,furniture,
Mesa sala,610,380,15,80,55,35,wood,furniture,
Entrepiso removible,350,290,235,620,380,6,floor,upper,
PA muro posterior,350,667,241,620,3,210,wood_light,upper,
PA muro lateral izquierdo,350,290,241,3,380,210,wood_light,upper,
PA muro lateral derecho,967,290,241,3,380,210,wood_light,upper,
PA frente izquierdo,350,290,241,80,3,210,wood_light,upper,
PA frente central,700,290,241,55,3,210,wood_light,upper,
PA frente derecho,920,290,241,50,3,210,wood_light,upper,
División dormitorio-baño,760,290,241,3,380,210,wood_light,upper,
Cama dormitorio,450,390,241,220,150,45,white,furniture,
Ducha,800,520,241,120,110,18,glass,furniture,
Techo removible,340,280,451,640,400,8,roof,roof,
Panel solar único,545,390,460,240,140,8,solar,roof,Panel didáctico; medir antes de prometer autonomía
Escalón 1,805,330,15,12,75,18,wood,ground,
Escalón 2,817,330,33,12,75,18,wood,ground,
Escalón 3,829,330,51,12,75,18,wood,ground,
Escalón 4,841,330,69,12,75,18,wood,ground,
Escalón 5,853,330,87,12,75,18,wood,ground,
Escalón 6,865,330,105,12,75,18,wood,ground,
Escalón 7,877,330,123,12,75,18,wood,ground,
Escalón 8,889,330,141,12,75,18,wood,ground,
Escalón 9,901,330,159,12,75,18,wood,ground,
Escalón 10,913,330,177,12,75,18,wood,ground,
Escalón 11,925,330,195,12,75,18,wood,ground,
Escalón 12,937,330,213,12,75,18,wood,ground,
Invernadero base,25,220,9,290,450,8,wood,greenhouse,
Cama de cultivo,60,285,17,220,310,55,soil,greenhouse,
Invernadero pared izquierda,25,220,17,3,450,225,glass,greenhouse,
Invernadero pared derecha,312,220,17,3,450,225,glass,greenhouse,
Invernadero frente,25,220,17,290,3,225,glass,greenhouse,
Invernadero fondo,25,667,17,290,3,225,glass,greenhouse,
Cubierta invernadero A,25,220,242,145,450,3,glass,greenhouse,
Cubierta invernadero B,170,220,242,145,450,3,glass,greenhouse,
Depósito de agua,55,90,9,110,95,120,water,systems,
Mini bomba,180,125,9,50,35,35,blue,systems,
Tubería principal,135,175,45,155,12,12,blue_light,systems,
Sensor humedad suelo,155,420,72,12,12,85,metal,sensors,
Sensor nivel,95,105,65,8,8,85,metal,sensors,
Torre Jarvis cuerpo,650,40,9,140,220,320,roof,jarvis,
Torre panel azul izquierdo,654,36,80,35,5,205,blue,jarvis,
Torre panel azul derecho,751,36,80,35,5,205,blue,jarvis,
Altavoz frontal,690,35,175,60,6,60,metal,jarvis,
LCD estado,675,34,95,90,6,45,blue_light,jarvis,
Botón MIC OFF,705,30,45,30,12,30,red,jarvis,
INMP441,715,34,280,10,6,8,electronics,sensors,
LED aro 1,749.0,31,276.0,8,5,8,blue_light,jarvis,
LED aro 2,743.9089653438086,31,295.0,8,5,8,blue_light,jarvis,
LED aro 3,730.0,31,308.9089653438087,8,5,8,blue_light,jarvis,
LED aro 4,711.0,31,314.0,8,5,8,blue_light,jarvis,
LED aro 5,692.0,31,308.9089653438087,8,5,8,blue_light,jarvis,
LED aro 6,678.0910346561914,31,295.0,8,5,8,blue_light,jarvis,
LED aro 7,673.0,31,276.0,8,5,8,blue_light,jarvis,
LED aro 8,678.0910346561914,31,257.0,8,5,8,blue_light,jarvis,
LED aro 9,692.0,31,243.09103465619134,8,5,8,blue_light,jarvis,
LED aro 10,711.0,31,238.0,8,5,8,blue_light,jarvis,
LED aro 11,730.0,31,243.09103465619134,8,5,8,blue_light,jarvis,
LED aro 12,743.9089653438086,31,257.0,8,5,8,blue_light,jarvis,
Bahía técnica base,810,40,9,160,220,8,metal,service,
Bahía técnica fondo,810,255,17,160,3,280,wood,service,
Bahía lateral izquierda,810,40,17,3,220,280,glass,service,
Bahía lateral derecha,967,40,17,3,220,280,glass,service,
Bahía frente removible,810,40,17,160,3,280,glass,service,
ESP32-S3 N16R8,835,195,55,60,35,85,electronics,electronics,
Relé bomba,910,195,55,40,35,45,relay,electronics,
Relé 4 canales,835,125,55,115,45,55,relay,electronics,
Fusible 3A,835,82,55,45,25,25,red,electronics,
Barra 5V/GND,895,82,55,55,25,25,metal,electronics,
LCD1602 técnico,835,38,190,110,6,40,blue_light,service,
Interruptor general,900,37,245,30,8,30,red,service,
DHT11 ventilado,620,655,145,25,15,35,white,sensors,
LDR bajo alero,940,282,185,18,12,18,green,sensors,
PIR entrada,575,260,65,30,18,30,white,sensors,
