grupo,pieza,cantidad,material,espesor_mm,ancho_mm,fondo_o_alto_mm,observacion
base,Base general,1,MDF,12,800,520,Pintar negro mate y marcar todas las huellas a lápiz
base,Faldón frontal,1,MDF,3,800,75,Rotular PROJECT DOMUS
base,Tapa de canal técnico,1,Plywood,3,552,22.4,Debe quedar removible; entregar el canal vacío
vivienda,Piso vivienda,1,Plywood,3,344,260,
vivienda,Muro posterior,1,Plywood,3,344,225,
vivienda,Muro lateral,2,Plywood,3,260,225,
vivienda,Techo removible,1,Plywood,3,356.8,272.8,Apoyar sin pegar
vivienda,Alero frontal,1,Plywood,3,368,17.6,
porche,Plataforma,1,Plywood,3,200,156,
porche,Cubierta,1,Plywood,3,212.8,168,
porche,Poste,2,Listón,8,8,134,No reducir la sección del listón
invernadero,Base,1,Plywood,3,200,280,
invernadero,Lateral transparente,2,Acrílico o acetato,1.5,280,165,
invernadero,Panel posterior,1,Acrílico o acetato,1.5,200,165,
invernadero,Cubierta inclinada,2,Acrílico o acetato,1.5,280,107.2,Ajustar ángulo tras presentación en seco
invernadero,Poste estructural,6,Varilla cuadrada,7,7,170,No reducir la sección de la varilla
jarvis,Cuerpo principal,1,Plywood o foamboard,3,84,290,Entregar vacío y con frente removible
jarvis,Lateral,2,Plywood o foamboard,3,94.4,290,No abrir huecos definitivos todavía
gabinete,Fondo,1,Plywood,3,88,250,Entregar completamente vacío
gabinete,Lateral transparente,2,Acrílico,1.5,120,250,
gabinete,Frente removible,1,Acrílico,1.5,88,250,Usar fijación removible; no instalar electrónica
