name,x,y,z,w,d,h,material,layer,note,rx,ry,rz
Base negra 1000x650,0,0,0,1000,650,12,base,base,MDF 12 mm pintado negro,0,0,0
Frente rotulado PROJECT DOMUS,0,0,12,1000,22,75,roof,base,Letras de vinilo o acrílico,0,0,0
Canal técnico oculto,285,28,12,690,28,16,blue,systems,Canaleta con tapa removible,0,0,0
Piso vivienda,300,300,12,430,325,7,floor,house,Plywood 3 mm sobre bastidor,0,0,0
Muro posterior vivienda,300,622,19,430,3,225,wood_light,house,Pieza estructural de la vivienda de una planta; presentar en seco antes de fijar.,0,0,0
Muro lateral izquierdo,300,300,19,3,325,225,wood_light,house,Pieza estructural de la vivienda de una planta; presentar en seco antes de fijar.,0,0,0
Muro lateral derecho,727,300,19,3,325,225,wood_light,house,Pieza estructural de la vivienda de una planta; presentar en seco antes de fijar.,0,0,0
Techo plano removible,292,292,244,446,341,10,roof,roof,Se retira para mantenimiento,0,0,0
Alero frontal,285,280,238,460,22,14,wood,roof,Elemento superior removible para inspección y mantenimiento del interior.,0,0,0
Mueble bajo cocina,325,572,19,178,42,68,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Encimera cocina,322,568,87,184,48,7,wood_light,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Gabinete alto cocina,325,594,130,130,24,72,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Refrigerador,515,548,19,48,66,138,metal,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Isla cocina,405,465,19,118,48,70,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Cubierta isla,400,460,89,128,58,6,wood_light,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Sofá sala,330,350,19,122,55,52,blue,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Mesa sala,462,370,19,70,48,31,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Cama base,545,405,19,118,178,37,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Colchón,550,410,56,108,168,24,white,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Cabecero,542,567,19,124,10,86,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Mesa de noche,675,520,19,38,38,42,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Mampara baño,680,305,19,3,290,190,glass,bath,Elemento del baño representado para lectura espacial; no forma parte del circuito hidráulico de riego.,0,0,0
Ducha piso,688,500,19,34,94,8,glass,bath,Elemento del baño representado para lectura espacial; no forma parte del circuito hidráulico de riego.,0,0,0
Lavamanos,689,430,19,32,48,62,white,bath,Elemento del baño representado para lectura espacial; no forma parte del circuito hidráulico de riego.,0,0,0
Inodoro,690,340,19,30,52,43,white,bath,Elemento del baño representado para lectura espacial; no forma parte del circuito hidráulico de riego.,0,0,0
Panel solar izquierdo,355,380,255,145,105,7,solar,solar,Panel didáctico 5 V,0,0,0
Panel solar derecho,535,380,255,145,105,7,solar,solar,Panel didáctico 5 V,0,0,0
Plataforma porche,340,72,12,250,195,8,floor,porch,Pieza del acceso frontal; alinear con la pasarela y mantener libre la zona del PIR.,0,0,0
Cubierta porche,332,62,154,266,210,9,roof,porch,Pieza del acceso frontal; alinear con la pasarela y mantener libre la zona del PIR.,0,0,0
Poste porche izquierdo,345,75,20,8,8,134,wood,porch,Pieza del acceso frontal; alinear con la pasarela y mantener libre la zona del PIR.,0,0,0
Poste porche derecho,575,75,20,8,8,134,wood,porch,Pieza del acceso frontal; alinear con la pasarela y mantener libre la zona del PIR.,0,0,0
Pasarela,440,22,12,58,110,6,wood_light,porch,Pieza del acceso frontal; alinear con la pasarela y mantener libre la zona del PIR.,0,0,0
Jardinera izquierda,360,92,20,38,135,26,soil,landscape,Elemento paisajístico de presentación sin función eléctrica o hidráulica activa.,0,0,0
Jardinera derecha,530,92,20,38,135,26,soil,landscape,Elemento paisajístico de presentación sin función eléctrica o hidráulica activa.,0,0,0
PIR entrada,605,235,60,28,15,28,white,sensors,Detección local de presencia en el acceso para iluminación y demostración.,0,0,0
Depósito de agua,25,65,12,92,92,100,water,water,"Reserva 92 × 92 × 100 mm sobre bandeja de contención, separada del gabinete electrónico.",0,0,0
Mini bomba 5V,130,95,12,48,34,31,blue,water,Riego local con bloqueo por nivel bajo y tiempo máximo continuo de 120 s.,0,0,0
Tubería a invernadero,105,170,40,150,10,10,blue_light,water,Componente del recorrido de riego; revisar uniones y fugas lejos de la electrónica.,0,0,0
Sensor nivel depósito,68,80,50,7,7,74,metal,sensors,Inhibe la bomba cuando detecta nivel bajo; comprobar su actuación antes de exhibir.,0,0,0
Base invernadero,25,230,12,250,350,7,wood,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Bancal izquierdo,48,265,19,76,280,42,soil,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Bancal derecho,155,265,19,76,280,42,soil,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Panel transparente izquierdo,25,230,19,3,350,165,glass,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Panel transparente derecho,272,230,19,3,350,165,glass,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Panel transparente posterior,25,577,19,250,3,165,glass,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Cubierta inclinada izquierda,26,230,176,134,350,3,glass,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,-22,0
Cubierta inclinada derecha,140,230,176,134,350,3,glass,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,22,0
Viga cumbrera,146,230,225,8,350,8,metal,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Poste invernadero 25-230,25,230,19,7,7,170,metal,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Poste invernadero 25-577,25,577,19,7,7,170,metal,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Poste invernadero 150-230,150,230,19,7,7,170,metal,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Poste invernadero 150-577,150,577,19,7,7,170,metal,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Poste invernadero 272-230,272,230,19,7,7,170,metal,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Poste invernadero 272-577,272,577,19,7,7,170,metal,greenhouse,Pieza del invernadero; mantener paneles transparentes accesibles y bancales nivelados.,0,0,0
Planta 48,48,330,61,10,10,58,green,plants,Representación de cultivo para explicar la zona supervisada por humedad y riego.,0,0,0
Planta 88,88,330,61,10,10,58,green,plants,Representación de cultivo para explicar la zona supervisada por humedad y riego.,0,0,0
Planta 172,172,330,61,10,10,58,green,plants,Representación de cultivo para explicar la zona supervisada por humedad y riego.,0,0,0
Planta 212,212,330,61,10,10,58,green,plants,Representación de cultivo para explicar la zona supervisada por humedad y riego.,0,0,0
