name,x,y,z,w,d,h,material,layer,note,rx,ry,rz
Base negra 800x520,0.0,0.0,0,800.0,520.0,12,base,base,MDF 12 mm pintado negro,0,0,0
Frente rotulado PROJECT DOMUS,0.0,0.0,12,800.0,17.6,75,roof,base,Letras de vinilo o acrílico,0,0,0
Canal técnico oculto,228.0,22.4,12,552.0,22.4,16,blue,systems,Canaleta con tapa removible,0,0,0
Piso vivienda,240.0,240.0,12,344.0,260.0,7,floor,house,Plywood 3 mm sobre bastidor,0,0,0
Muro posterior vivienda,240.0,497.6,19,344.0,3,225,wood_light,house,Pieza estructural de la vivienda de una planta; presentar en seco antes de fijar.,0,0,0
Muro lateral izquierdo,240.0,240.0,19,3,260.0,225,wood_light,house,Pieza estructural de la vivienda de una planta; presentar en seco antes de fijar.,0,0,0
Muro lateral derecho,581.6,240.0,19,3,260.0,225,wood_light,house,Pieza estructural de la vivienda de una planta; presentar en seco antes de fijar.,0,0,0
Techo plano removible,233.6,233.6,244,356.8,272.8,10,roof,roof,Se retira para mantenimiento,0,0,0
Alero frontal,228.0,224.0,238,368.0,17.6,14,wood,roof,Elemento superior removible para inspección y mantenimiento del interior.,0,0,0
Mueble bajo cocina,260.0,457.6,19,142.4,33.6,68,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Encimera cocina,257.6,454.4,87,147.2,38.4,7,wood_light,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Gabinete alto cocina,260.0,475.2,130,104.0,19.2,72,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Refrigerador,412.0,438.4,19,38.4,52.8,138,metal,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Isla cocina,324.0,372.0,19,94.4,38.4,70,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Cubierta isla,320.0,368.0,89,102.4,46.4,6,wood_light,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Sofá sala,264.0,280.0,19,97.6,44.0,52,blue,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Mesa sala,369.6,296.0,19,56.0,38.4,31,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Cama base,436.0,324.0,19,94.4,142.4,37,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Colchón,440.0,328.0,56,86.4,134.4,24,white,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Cabecero,433.6,453.6,19,99.2,10,86,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Mesa de noche,540.0,416.0,19,30.4,30.4,42,wood,furniture,Mobiliario didáctico que ayuda a leer la distribución interior y la escala de la maqueta.,0,0,0
Mampara baño,544.0,244.0,19,3,232.0,190,glass,bath,Elemento del baño representado para lectura espacial; no forma parte del circuito hidráulico de riego.,0,0,0
