grupo,pieza,cantidad,material,espesor_mm,ancho_mm,fondo_o_alto_mm,observacion
base,Base general,1,MDF,12,1000,650,Pintar negro mate
base,Faldón frontal,1,MDF,3,1000,75,Rotular PROJECT DOMUS
vivienda,Piso vivienda,1,Plywood,3,430,325,
vivienda,Muro posterior,1,Plywood,3,430,225,
vivienda,Muro lateral,2,Plywood,3,325,225,
vivienda,Techo removible,1,Plywood,3,446,341,Apoyar sin pegar
vivienda,Alero frontal,1,Plywood,3,460,22,
porche,Plataforma,1,Plywood,3,250,195,
porche,Cubierta,1,Plywood,3,266,210,
porche,Poste,2,Listón,8,8,134,
invernadero,Base,1,Plywood,3,250,350,
invernadero,Lateral transparente,2,Acrílico o acetato,1.5,350,165,
invernadero,Panel posterior,1,Acrílico o acetato,1.5,250,165,
invernadero,Cubierta inclinada,2,Acrílico o acetato,1.5,350,134,Ajustar ángulo después de presentación en seco
invernadero,Poste estructural,6,Varilla cuadrada,7,7,170,
jarvis,Cuerpo principal,1,Plywood o foamboard,3,105,290,Plantilla frontal decorativa aparte
jarvis,Lateral,2,Plywood o foamboard,3,118,290,
gabinete,Fondo,1,Plywood,3,110,250,
gabinete,Lateral transparente,2,Acrílico,1.5,150,250,
gabinete,Frente removible,1,Acrílico,1.5,110,250,Usar imanes pequeños
